X,Y,Z
00010010010011111000,00010010010011111000,00001001110001000000
00010010011000001000,00010010100101100001,00001001110001000000
00010010100100011000,00010010110101110101,00001001110001000000
00010010110111011011,00010011000011111111,00001001110001000000
00010011001111110001,00010011001111110010,00001001110001000000
00010011011011101011,00010011001100101110,00001001110001000000
00010011011011101011,00010011001100101110,00011010110110110000
00010011100111111000,00010011001001111011,00011010110110110000
00010011110100010111,00010011000111010110,00011010110110110000
00010100000001000110,00010011000100111111,00011010110110110000
00010011101100111000,00010010111010011100,00011010110110110000
00010011011101100011,00010010101110100010,00011010110110110000
00010011010011111011,00010010100001100001,00011010110110110000
00010011010000101000,00010010010011110110,00011010110110110000
00010011100110001010,00010010011111011101,00011010110110110000
00010100000000000001,00010010101001010011,00011010110110110000
00010100011101001110,00010010110001100010,00011010110110110000
00010100111101000000,00010010111000011011,00011010110110110000
00010101000111011011,00010010110111010111,00011010110110110000
00010101010001111010,00010010110110010111,00011010110110110000
00010101011100011100,00010010110101011010,00011010110110110000
00010101100111000001,00010010110100100001,00011010110110110000
00010101001000011110,00010010101110000100,00011010110110110000
00010100101100011001,00010010100110100100,00011010110110110000
00010100010011011000,00010010011101110110,00011010110110110000
00010011111110001101,00010010010011110101,00011010110110110000
00010100010011011000,00010010001001110100,00011010110110110000
00010100101100011001,00010010000001000110,00011010110110110000
00010101001000011110,00010001111001100101,00011010110110110000
00010101100111000001,00010001110011001001,00011010110110110000
00010101011100011100,00010001110010001111,00011010110110110000
00010101010001111010,00010001110001010011,00011010110110110000
00010101000111011011,00010001110000010010,00011010110110110000
00010100111101000000,00010001101111001111,00011010110110110000
00010100011101001110,00010001110110000111,00011010110110110000
00010100000000000001,00010001111110010111,00011010110110110000
00010011100110001010,00010010001000001100,00011010110110110000
00010011010000101000,00010010010011110100,00011010110110110000
00010011010011111011,00010010000110001001,00011010110110110000
00010011011101100011,00010001111001000111,00011010110110110000
00010011101100111000,00010001101101001101,00011010110110110000
00010100000001000110,00010001100010101011,00011010110110110000
00010011110100010111,00010001100000010011,00011010110110110000
00010011100111111000,00010001011101101111,00011010110110110000
00010011011011101011,00010001011010111100,00011010110110110000
00010011001111110001,00010001010111111000,00011010110110110000
00010010100100011000,00010001110001110101,00011010110110110000
00010010010011111000,00010010010011110010,00011010110110110000
00010010100100011000,00010010110101110000,00011010110110110000
00010011001111110001,00010011001111101101,00011010110110110000
00010011001111110001,00010011001111101101,00001001110001000000
